[4, 4, 4, 1, 8, 0, 9, 10, 4, 8]
[6, 0, 8, 3, 0, 9, 6, 4, 5, 8]
[1, 1, 5, 6, 4, 2, 4, 3, 9, 6]
[4, 10, 4, 5, 2, 0, 8, 9, 1, 10]
[9, 6, 5, 8, 1, 0, 9, 2, 5, 9]
[10, 4, 3, 1, 0, 6, 5, 9, 0, 9]
[3, 8, 6, 6, 5, 8, 3, 4, 0, 5]
[5, 0, 4, 5, 10, 4, 0, 3, 8, 4]
[4, 1, 4, 1, 9, 0, 5, 8, 2, 9]
[2, 2, 0, 8, 5, 0, 10, 5, 10, 6]
[9, 8, 5, 7, 9, 0, 8, 0, 8, 1]
[1, 6, 2, 2, 4, 3, 7, 9, 8, 9]
[10, 4, 5, 7, 5, 5, 1, 4, 4, 6]
[5, 1, 8, 3, 6, 7, 9, 3, 10, 5]
[3, 5, 0, 4, 8, 7, 0, 8, 6, 10]
[5, 1, 4, 4, 8, 6, 9, 9, 7, 4]
[4, 7, 10, 8, 5, 10, 7, 9, 1, 2]
[1, 8, 8, 1, 0, 0, 3, 9, 10, 9]
[2, 10, 0, 1, 9, 4, 2, 4, 3, 0]
[3, 10, 3, 0, 4, 8, 5, 7, 3, 10]
[7, 3, 10, 9, 6, 6, 8, 2, 7, 1]
[3, 10, 2, 9, 7, 8, 2, 6, 3, 8]
[8, 1, 9, 9, 2, 10, 6, 8, 10, 5]
[0, 7, 7, 8, 3, 7, 1, 3, 6, 10]
[10, 2, 7, 0, 3, 9, 2, 8, 8, 7]
[3, 5, 1, 4, 1, 0, 5, 10, 6, 3]
[5, 9, 1, 1, 0, 6, 8, 0, 6, 1]
[2, 1, 0, 6, 2, 8, 2, 1, 7, 5]
[7, 5, 9, 0, 3, 0, 2, 4, 4, 0]
[10, 2, 6, 8, 1, 9, 8, 10, 6, 5]
[9, 5, 5, 4, 0, 5, 5, 3, 5, 7]
[2, 5, 7, 5, 2, 6, 7, 4, 9, 10]
[9, 3, 6, 4, 6, 1, 5, 2, 6, 8]
[5, 1, 3, 1, 7, 9, 10, 7, 1, 0]
[7, 10, 8, 3, 1, 7, 9, 1, 4, 6]
[5, 6, 7, 2, 8, 4, 1, 2, 8, 0]
[5, 9, 6, 2, 5, 10, 9, 3, 9, 4]
